edinetCode	companyName.x	fiscalYear	NotesAdditionalInfo	NotesAdditionalInfoConsolidate	textCorona	withCorona	withDTA	withFA	lengthofNotes	secCode	industry	market	auditFirm	GAAP
E00017	株式会社ホウスイ	第85期（自2019年４月１日至2020年３月31日）	NA	NA	NA	NA	NA	NA	NA	1352	卸売業	東証一部	監査法人和宏事務所	日本基準
E00023	住友金属鉱山株式会社	第95期（自2019年４月１日至2020年３月31日）	NA	NA	NA	NA	NA	NA	NA	5713	非鉄金属	東証一部	有限責任あずさ監査法人	IFRS基準
E00045	大室温泉株式会社	第61期(自2019年４月１日至2020年３月31日)	NA	NA	NA	NA	NA	NA	NA	N/A	非公開	非上場	エリプス公認会計士共同事務所	日本基準
E00052	大成建設株式会社	第160期(自2019年４月１日至2020年３月31日)	NA	NA	NA	NA	NA	NA	NA	1801	建設業	東証一部、名証一部	有限責任あずさ監査法人	日本基準
E00058	鹿島建設株式会社	第123期(自2019年４月１日至2020年３月31日)	NA	NA	NA	NA	NA	NA	NA	1812	建設業	東証一部、名証一部	有限責任監査法人トーマツ	日本基準
E00074	株式会社関電工	第106期（自2019年４月１日至2020年３月31日）	NA	NA	NA	NA	NA	NA	NA	1942	建設業	東証一部	井上監査法人	日本基準
E00075	株式会社きんでん	第106期（自2019年４月１日至2020年３月31日）	"（追加情報）  (確定拠出年金制度への一部移行について)   当社は、2019年４月より確定給付企業年金制度の一部について、確定拠出年金制度へ移行し、「退職給付制度間の移行等に関する会計処理」(企業会計基準適用指針第１号平成28年12月16日)を適用している。   本移行に伴う影響額は、当事業年度に特別利益1,603百万円を計上している。  "	"（追加情報）  (確定拠出年金制度への一部移行について)   当社は、2019年４月より確定給付企業年金制度の一部について、確定拠出年金制度へ移行し、「退職給付制度間の移行等に関する会計処理」(企業会計基準適用指針第１号平成28年12月16日)を適用している。   本移行に伴う影響額は、当連結会計年度に特別利益1,603百万円を計上している。  "	NA	NA	NA	NA	NA	1944	建設業	東証一部	ひびき監査法人	日本基準
E00079	徳倉建設株式会社	第75期（自2019年４月１日至2020年３月31日）	NA	NA	NA	NA	NA	NA	NA	1892	建設業	名証二部	栄監査法人	日本基準
E00081	若築建設株式会社	第204期（自2019年４月１日至2020年３月31日）	NA	NA	NA	NA	NA	NA	NA	1888	建設業	東証一部	有限責任あずさ監査法人	日本基準
E00095	大豊建設株式会社	第71期（自2019年４月１日至2020年３月31日）	（追加情報）  （取締役及び執行役員に対する役員向け株式交付信託制度）   取締役等に信託を通じて自社の株式を交付する取引に関する注記については、連結財務諸表「注記事項（追加情報）」に同一の内容を記載しているので注記を省略している。  	（追加情報）  （取締役及び執行役員に対する役員向け株式交付信託制度）   （1）取引の概要   当社は、2019年６月27日開催の第70回定時株主総会決議に基づき、2019年８月27日より、当社取締役（社外取締役を除く。以下同様。）及び執行役員（以下、総称して「取締役等」という。）の報酬と当社の株式価値との連動性をより明確にし、取締役等が株価の変動による利益・リスクを株主の皆様と共有することで、中長期的な業績の向上と企業価値の増大に貢献する意識を高めることを目的として、株式報酬制度（以下、「本制度」という。）を導入している。   具体的には、本制度は、役員向け株式交付信託（以下「本信託」という。）と称される仕組みを採用し、当社が金銭を拠出することにより設定する本信託が当社株式を取得し、当社が各取締役等に付与するポイントの数に相当する数の当社株式が本信託を通じて各取締役等に対して交付される株式報酬制度である。   なお、取締役等が当社株式の交付を受ける時期は、原則として取締役等の退任時である。   （2）信託に残存する当社株式   本制度の導入に伴い、日本トラスティ・サービス信託銀行株式会社（信託口）が、当社株式を106千株取得している。   本信託に残存する当社株式を、本信託における帳簿価額（付随費用の金額を除く。）により、純資産の部に自己株式として計上している。当該自己株式の帳簿価額及び株式数は、前連結会計年度末は該当なし、当連結会計年度末272百万円及び106千株である。  	NA	NA	NA	NA	NA	1822	建設業	東証一部	有限責任あずさ監査法人	日本基準
